bin,gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,unrestored total,restored total,natural total,unrestored,restored,natural,bin_all_R1_A_D1_MG_per,bin_all_R1_B_D1_MG_per,bin_all_R2_A_D1_MG_per,bin_all_R2_B_D1_MG_per,bin_all_R2_C_D1_MG_per,bin_all_R1_A_D2_MG_per,bin_all_R1_B_D2_MG_per,bin_all_R1_C_D2_MG_per,bin_all_R2_B_D2_MG_per,bin_all_R1_A_H2O_MG_per,bin_all_R1_B_H2O_MG_per,bin_all_R2_B_H2O_MG_per,bin_all_R2_C_H2O_MG_per,bin_all_R2_restored_C_black_MG_per,bin_all_R2_restored_D_shore_MG_per,bin_all_R2_restored_H2O_MG_per,bin_all_R2A_A_D1_MG_per,bin_all_R2A_B_D1_MG_per,bin_all_R2A_C_D1_MG_per,bin_all_R2A_A_D2_MG_per,bin_all_R2A_B_D2_MG_per,bin_all_R2A_C_D2_MG_per,bin_all_R2A_A_H2O_MG_per,bin_all_R2A_B_H2O_MG_per,bin_all_R2A_C_H2O_MG_per,bin_all_SF2_B_D1_MG_per,bin_all_SF2_C_D1_MG_per,bin_all_SF2_A_D2_MG_per,bin_all_SF2_B_D2_MG_per,bin_all_SF2_C_D2_MG_per,bin_all_SF2_A_H2O_MG_per,bin_all_SF2_B_H2O_MG_per,bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.43.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nitriliruptorales,f__Nitriliruptoraceae,0.97%,0.00%,0.01%,0.46%,0.00%,0.01%,0.01%,0.07%,0.15%,0.11%,0.04%,0.00%,0.02%,0.11%,0.46%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.27.contigs,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Longimicrobiales,f__UBA6960,1.59%,0.00%,0.06%,0.45%,0.00%,0.05%,0.19%,0.27%,0.05%,0.09%,0.17%,0.22%,0.45%,0.09%,0.06%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.01%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_H2O_MG_DASTool_bins_maxbin.002.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__S36-B12,0.83%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae,1.40%,0.00%,0.00%,0.43%,0.00%,0.00%,0.08%,0.32%,0.17%,0.10%,0.43%,0.09%,0.12%,0.04%,0.06%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.23.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__Nitrococcaceae,0.72%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.30%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.7.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,0.68%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.22.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales_C,f__SLST01,0.94%,0.00%,0.00%,0.39%,0.00%,0.00%,0.01%,0.08%,0.06%,0.23%,0.39%,0.02%,0.03%,0.02%,0.10%,0.00%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.19.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,1.16%,0.00%,0.00%,0.37%,0.00%,0.00%,0.05%,0.03%,0.37%,0.12%,0.11%,0.05%,0.13%,0.06%,0.23%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,0.79%,0.00%,0.01%,0.37%,0.00%,0.00%,0.15%,0.05%,0.01%,0.01%,0.01%,0.37%,0.15%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.5.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,0.58%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_maxbin.047.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__BM714,0.97%,0.00%,0.00%,0.35%,0.00%,0.00%,0.14%,0.06%,0.01%,0.01%,0.01%,0.35%,0.23%,0.05%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.86.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,0.43%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Dethiosulfatibacteraceae,1.60%,0.00%,0.00%,0.34%,0.00%,0.00%,0.27%,0.14%,0.21%,0.08%,0.03%,0.34%,0.14%,0.16%,0.23%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,0.59%,0.00%,0.24%,0.34%,0.00%,0.19%,0.00%,0.18%,0.01%,0.01%,0.01%,0.00%,0.34%,0.01%,0.03%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiohalorhabdales,f__Thiohalorhabdaceae,0.43%,0.07%,0.00%,0.33%,0.06%,0.00%,0.33%,0.00%,0.03%,0.00%,0.00%,0.00%,0.05%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,1.07%,0.00%,0.00%,0.32%,0.00%,0.00%,0.05%,0.03%,0.32%,0.10%,0.11%,0.12%,0.05%,0.06%,0.22%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_maxbin.035.contigs,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,0.54%,0.00%,0.00%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,0.59%,0.00%,0.00%,0.30%,0.00%,0.00%,0.02%,0.09%,0.00%,0.00%,0.00%,0.30%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.93.contigs,d__Bacteria,p__Patescibacteria,c__ABY1,o__BM507,f__BM507,0.63%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.29%,0.19%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84.contigs,d__Bacteria,p__Patescibacteria,c__ABY1,o__UBA2591,f__UBA6264,0.66%,0.00%,0.00%,0.26%,0.00%,0.00%,0.11%,0.01%,0.26%,0.01%,0.00%,0.12%,0.06%,0.05%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.37.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,0.77%,0.00%,0.00%,0.25%,0.00%,0.00%,0.08%,0.08%,0.03%,0.08%,0.05%,0.09%,0.25%,0.06%,0.05%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.73.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae,0.91%,0.00%,0.00%,0.25%,0.00%,0.00%,0.06%,0.13%,0.11%,0.06%,0.25%,0.06%,0.18%,0.02%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44.contigs,d__Bacteria,p__Desulfobacterota_F,c__Desulfuromonadia,o__Desulfuromonadales,f__SZUA-401,0.41%,0.33%,0.00%,0.24%,0.29%,0.00%,0.24%,0.05%,0.00%,0.03%,0.01%,0.01%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,0.70%,0.00%,0.00%,0.24%,0.00%,0.00%,0.23%,0.02%,0.00%,0.03%,0.09%,0.24%,0.04%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__,0.75%,0.00%,0.00%,0.23%,0.00%,0.00%,0.10%,0.07%,0.01%,0.00%,0.00%,0.23%,0.17%,0.15%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.12.contigs,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__,0.29%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_concoct_out.45.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,0.85%,0.00%,0.00%,0.22%,0.00%,0.00%,0.05%,0.03%,0.22%,0.11%,0.10%,0.05%,0.05%,0.08%,0.16%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.22.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Halothiobacillales,f__Halothiobacillaceae,0.49%,0.00%,0.00%,0.20%,0.00%,0.00%,0.08%,0.03%,0.01%,0.02%,0.01%,0.01%,0.02%,0.02%,0.00%,0.10%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,0.68%,0.01%,0.01%,0.19%,0.00%,0.00%,0.03%,0.07%,0.19%,0.07%,0.07%,0.04%,0.04%,0.04%,0.14%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.51.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,0.58%,0.00%,0.00%,0.16%,0.00%,0.00%,0.06%,0.08%,0.16%,0.03%,0.03%,0.05%,0.07%,0.09%,0.01%,0.00%,0.00%,0.00%,0.00%,1.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.17.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,0.42%,0.01%,0.00%,0.15%,0.01%,0.00%,0.00%,0.00%,0.14%,0.15%,0.11%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,2.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.104.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA7960,0.24%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.01%,0.15%,0.03%,0.02%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.13.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,0.24%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.25.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,0.17%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.26.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12170,0.18%,0.00%,0.00%,0.09%,0.00%,0.00%,0.01%,0.00%,0.01%,0.06%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_H2O_MG_DASTool_bins_maxbin.005.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,0.24%,0.04%,0.00%,0.09%,0.02%,0.00%,0.00%,0.00%,0.08%,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,0.03%,0.09%,0.00%,0.00%,0.00%,0.01%,3.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.57.contigs,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__DSM-45221,0.15%,0.00%,0.01%,0.08%,0.00%,0.01%,0.01%,0.01%,0.00%,0.04%,0.08%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_H2O_MG_DASTool_bins_maxbin.017.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__S36-B12,0.19%,0.00%,0.00%,0.07%,0.00%,0.00%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.07%,0.00%,0.00%,0.01%,0.00%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.40.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,0.06%,1.54%,0.00%,0.03%,0.76%,0.00%,0.00%,0.01%,0.00%,0.03%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,1.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.01%,0.00%,0.76%,0.61%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_H2O_MG_DASTool_bins_concoct_out.44.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__S36-B12,0.04%,0.01%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2A_C_H2O_MG_DASTool_bins_metabat.5.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__DT-91,0.11%,1.61%,30.30%,0.02%,0.56%,11.45%,0.01%,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.05%,0.11%,0.01%,0.07%,0.03%,0.01%,9.35%,9.22%,11.45%,0.02%,0.04%,0.02%,0.03%,0.00%,0.42%,0.51%,0.56%
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,0.02%,7.13%,0.00%,0.01%,6.31%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63%,0.04%,0.01%,6.31%,0.13%,0.00%,0.00%,0.00%
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,0.02%,2.40%,0.00%,0.01%,1.99%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.01%,0.03%,0.32%,1.99%,0.00%,0.00%,0.00%
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA10428,0.01%,5.33%,0.86%,0.01%,2.36%,0.86%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.86%,0.00%,0.00%,0.00%,0.00%,0.17%,0.78%,1.31%,0.71%,2.36%,0.00%,0.00%,0.00%
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,0.05%,21.58%,11.93%,0.01%,8.03%,4.14%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.01%,0.00%,0.00%,4.14%,3.88%,3.87%,0.01%,0.00%,0.00%,0.01%,0.00%,7.22%,8.03%,6.31%
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SLND01,f__,0.01%,2.81%,0.15%,0.01%,2.24%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.01%,0.13%,0.01%,0.00%,0.00%,0.00%,0.09%,0.02%,0.39%,0.07%,2.24%,0.00%,0.00%,0.00%
